# Cytoplasmic ribosome orthologs from core fungi of interest
# Core factors only
# Component names from A new system for naming ribosomal proteins Ban et al 2014
# orthologs from PANTHER.db (YEAST, SCHPO, NEUCR, CRYNJ), others from fungidb.
# YEAST = S. cerevisiae S288C, SCHPO = S. pombe 972h-, NEUCR = N. crassa OR74A
# CRYNJ = C. deneoformans JEC21, CRYNH = C. neoformans H99, CANAL = C. albicans SC5314
# E. Wallace ewjwallace@gmail.com, 30 July 2018 
# and Guilhem Janbon guilhem.janbon@pasteur.fr, 31 Oct 2018
#
SUBUNIT	COMPONENT	SPECIES	GENE_ID	UNIPROT_ID	ENTREZ_ID
S	eS4	CRYNJ	CNA06200	Q5KNK2	3253666
S	eS4	CRYNH	CNAG_00640	J9VF99	
S	eS4	NEUCR	NCU02181	Q7SE03	3880400
S	eS4	SCHPO	SPBC19F8.08	P87158	2540649
S	eS4	SCHPO	SPAC959.07	Q9P4W9	2543486
S	eS4	SCHPO	SPBC21B10.10	Q9USW5	2540325
S	eS4	YEAST	YJR145C	P0CX35	853610
S	eS4	YEAST	YHR203C	P0CX36	856610
S	eS6	CANAL	C4_01270W_A	A0A1D8PL99	
S	eS6	CRYNJ	CND02780	Q5KIJ1	3256894
S	eS6	CRYNH	CNAG_01152	T2BNZ0	
S	eS6	NEUCR	NCU08502	V5INQ2	3879571
S	eS6	SCHPO	SPAC13G6.07c	P05752	2542870
S	eS6	SCHPO	SPAPB1E7.12	Q9C0Z7	2543581
S	eS6	YEAST	YBR181C	P0CX38	852479
S	eS6	YEAST	YPL090C	P0CX37	856015
S	eS7	CANAL	C3_01490W_A	Q5AJ93	
S	eS7	CRYNJ	CNI01120	Q5KBW6	3259642
S	eS7	CRYNH	CNAG_04445	J9VZI7	
S	eS7	NEUCR	NCU00258	O43105	3873891
S	eS7	SCHPO	SPAC18G6.14c	Q10101	2542553
S	eS7	YEAST	YOR096W	P26786	854263
S	eS7	YEAST	YNL096C	P48164	855628
S	eS8	CANAL	C2_05610C_A	Q59T44	
S	eS8	CRYNJ	CNG03720	Q5KDJ7	3258792
S	eS8	CRYNH	CNAG_03198	J9VXL7	
S	eS8	NEUCR	NCU08500	V5IPM8	3879569
S	eS8	SCHPO	SPAC521.05	Q9P7B2	2543354
S	eS8	SCHPO	SPAC2C4.16c	O14049	2541491
S	eS8	YEAST	YBL072C	P0CX39	852206
S	eS8	YEAST	YER102W	P0CX40	856839
S	eS10	CANAL	C2_08040C_A	A0A1D8PI15	
S	eS10	CRYNJ	CNF01650	Q5KFI3	3258245
S	eS10	CRYNH	CNAG_05814	J9VPF2	
S	eS10	NEUCR	NCU06743	F5HE85	3879676
S	eS10	SCHPO	SPBP22H7.08	O13614	3361259
S	eS10	SCHPO	SPAC31G5.17c	O14112	2542561
S	eS10	YEAST	YMR230W	P46784	855270
S	eS10	YEAST	YOR293W	Q08745	854468
S	eS12	CANAL	C3_07150C_A	Q5ADQ6	
S	eS12	CRYNJ	CNC03760	Q5KK99	3256734
S	eS12	CRYNH	CNAG_02754	J9VID8	
S	eS12	NEUCR	NCU06432	Q7RV74	3873492
S	eS12	SCHPO	SPBC1685.02c	O74322	2540015
S	eS12	SCHPO	SPCC962.04	O14062	2539588
S	eS12	YEAST	YOR369C	P48589	854551
S	eS17	CANAL	C1_10870W_A	A0A1D8PEY9	
S	eS17	CRYNJ	CND02960	Q5KIH4	3257168
S	eS17	CRYNH	CNAG_01170	J9VTE3	
S	eS17	NEUCR	NCU07014	P27770	3877983
S	eS17	SCHPO	SPCC24B10.09	Q9P7J6	2539331
S	eS17	SCHPO	SPBC839.05c	O42984	2541229
S	eS17	YEAST	YDR447C	P14127	852058
S	eS17	YEAST	YML024W	P02407	854984
S	eS19	CANAL	C3_05200W_A	A0A1D8PK61	
S	eS19	CRYNJ	CNC06100	Q5KJL6	3256233
S	eS19	CRYNH	CNAG_03000	J9VH03	
S	eS19	NEUCR	NCU07826	Q7SBD8	3879095
S	eS19	SCHPO	SPBC21C3.13	P58234	2540447
S	eS19	SCHPO	SPBC649.02	P79016	2541084
S	eS19	YEAST	YOL121C	P07280	854028
S	eS19	YEAST	YNL302C	P07281	855414
S	eS21	CANAL	C1_01370C_A	Q9P844	
S	eS21	CRYNJ	CND04200	Q5KI51	3257053
S	eS21	CRYNH	CNAG_01300	J9VK51	
S	eS21	NEUCR	NCU08627	O93798	3880995
S	eS21	SCHPO	SPBC18E5.06	P05764	2540806
S	eS21	YEAST	YKR057W	P0C0V8	853931
S	eS21	YEAST	YJL136C	Q3E754	853305
S	eS24	CANAL	C3_00090W_A	Q5A7K0	
S	eS24	CRYNJ	CND04480	Q5KI23	3256860
S	eS24	CRYNH	CNAG_01332	J9VKN9	
S	eS24	NEUCR	NCU07182	Q1K5V9	3873582
S	eS24	SCHPO	SPAC17G6.06	O13784	2542430
S	eS24	SCHPO	SPBC17G9.07	O59865	2539848
S	eS24	YEAST	YER074W	P0CX31	856805
S	eS24	YEAST	YIL069C	P0CX32	854741
S	eS25	CANAL	C5_03540C_A	A0A1D8PNQ6	
S	eS25	CRYNJ	CNE01910	Q5KGY5	3257941
S	eS25	CRYNH	CNAG_02359	J9VUU8	
S	eS25	NEUCR	NCU09476	Q7SC06	3879379
S	eS25	SCHPO	SPAC694.05c	P79009	2543307
S	eS25	SCHPO	SPBC3D6.15	O74172	2540965
S	eS25	YEAST	YLR333C	P0C0T4	851045
S	eS25	YEAST	YGR027C	Q3E792	852911
S	eS26	CANAL	C2_01610C_A	Q5ALV6	
S	eS26	CRYNJ	CNH01770	Q5KCP3	3259324
S	eS26	CRYNH	CNAG_05525	J9VZT6	
S	eS26	NEUCR	NCU04552	P21772	3872091
S	eS26	SCHPO	SPAC1805.11c	Q9UTG4	2542538
S	eS26	SCHPO	SPAC806.03c	Q9UT56	2543085
S	eS26	YEAST	YER131W	P39939	856868
S	eS26	YEAST	YGL189C	P39938	852686
S	eS27	CANAL	C1_05510C_A	A0A1D8PDP4	
S	eS27	CRYNJ	CNG02740	Q5KDU6	3258886
S	eS27	CRYNH	CNAG_03303	J9VVA3	
S	eS27	NEUCR	NCU00618	Q7RVN2	3881915
S	eS27	SCHPO	SPBC1685.10	O74330	2539969
S	eS27	YEAST	YKL156W	P35997	853700
S	eS27	YEAST	YHR021C	P38711	856415
S	eS28	CANAL	C7_00710W_A	A0A1D8PQN0	
S	eS28	CRYNJ	CND06280	Q5KHJ3	3256923
S	eS28	CRYNH	CNAG_06847	J9VPT7	
S	eS28	NEUCR	NCU05599	Q7S6W5	3876676
S	eS28	SCHPO	SPCC285.15c	P0CT80	2539085
S	eS28	SCHPO	SPAC25G10.06	P0CT79	2542751
S	eS28	YEAST	YOR167C	Q3E7X9	854338
S	eS28	YEAST	YLR264W	P0C0X0	850969
S	eS30	CANAL	CR_03770C_A	A0A1D8PSK2	
S	eS30	CRYNJ	CNA07960	Q5KN27	3253889
S	eS30	CRYNH	CNAG_00819	J9VMQ3	
S	eS30	NEUCR	NCU09089	V5INR8	3881057
S	eS30	NEUCR	NCU06048	V5IMG5	3875958
S	eS30	SCHPO	SPBC19G7.03c	P0CT63	2540609
S	eS30	SCHPO	SPAC19B12.04	P0CT62	2542603
S	eS30	YEAST	YLR287C-A	P0CX33	850994
S	eS30	YEAST	YOR182C	P0CX34	854354
S	eS31	CANAL	C4_07180W_A	Q5A109	
S	eS31	CRYNJ	CND03060	Q5KIG4	3257091
S	eS31	CRYNH	CNAG_01181	J9VL49	
S	eS31	NEUCR	NCU04553	P14799	3872092
S	eS31	SCHPO	SPAC589.10c	P0C8R3	2542138
S	eS31	SCHPO	SPAC6G10.11c	P0C016	2541445
S	eS31	YEAST	YLR167W	P05759	850864
S	RACK1	CANAL	C7_01250W_A	P83774	
S	RACK1	CRYNJ	CNH01270	Q5KCJ8	3259117
S	RACK1	CRYNH	CNAG_05465	J9W3X8	
S	RACK1	NEUCR	NCU05810	Q01369	3876201
S	RACK1	SCHPO	SPAC6B12.15	Q10281	2543298
S	RACK1	YEAST	YMR116C	P38011	855143
