Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
HISTO_JG.Contig207.Fgenesh_Aspergillus.38.final_new_mrna	0.091	No mitochondrial presequence	70(MPP), 71(Icp55)	0.100	19-23	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	19-24	-	
HISTO_BP.Contig459-snap.52.final_new_mrna	0.000	No mitochondrial presequence	34(MPP), 35(Icp55)	-0.147	21-25	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DY.Contig31-snap.42.final_new_mrna	0.057	No mitochondrial presequence	37(MPP)	0.054		1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_histo.189.final_new_mrna	0.028	No mitochondrial presequence	25(MPP)	0.000	9-13	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	9-14	-	
HISTO_BP.Contig457.Fgenesh_histo.164.final_new_mrna	0.011	No mitochondrial presequence	26(MPP)	0.154		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig94.Fgenesh_Aspergillus.5.final_new_mrna	0.012	No mitochondrial presequence	27(MPP)	-0.037	24-28,43-47	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.eannot.1778.final_new_mrna	0.000	No mitochondrial presequence	89(MPP)	-0.034	15-19,86-90,95-99	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig363.eannot.1227.final_new_mrna	0.005	No mitochondrial presequence	37(MPP)	0.054	34-38	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127a.Fgenesh_histo.4.final_new_mrna	0.053	No mitochondrial presequence	29(MPP)	0.000	3-7	2-11-high	-	-	-	-	-	-	-	-	-	-	-	2-7	3-8	-	
HISTO_LG.Contig392.Fgenesh_Aspergillus.72.final_new_mrna	0.009	No mitochondrial presequence	29(MPP)	0.103	4-8,78-82,88-92	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig316.Fgenesh_Aspergillus.2.final_new_mrna	0.000	No mitochondrial presequence	10(MPP)	-0.200		7-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161d.eannot.1445.final_new_mrna	0.969	Possessing mitochondrial presequence	40(MPP)	0.175	12-16,37-41	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_histo.176.final_new_mrna	0.000	No mitochondrial presequence	61(MPP)	-0.082		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_Neurospora.178.final_new_mrna	0.045	No mitochondrial presequence	47(MPP)	0.128	71-75	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig149.Fgenesh_histo.67.final_new_mrna	0.043	No mitochondrial presequence	12(MPP)	0.083	46-50	5-14-high	-	-	-	-	-	9-14	-	-	-	8-13	-	-	-	-	
HISTO_DU.Contig190.eannot.1265.final_new_mrna	0.000	No mitochondrial presequence	13(MPP)	-0.154	20-24,69-73,87-91	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.eannot.1970.final_new_mrna	0.010	No mitochondrial presequence	32(MPP), 33(Icp55)	0.031		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_Neurospora.127.final_new_mrna	0.000	No mitochondrial presequence	41(MPP)	-0.073		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_Neurospora.172.final_new_mrna	0.000	No mitochondrial presequence	6(MPP)	-0.167	41-45	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZY.Contig562f.Fgenesh_Aspergillus.12.final_new_mrna	0.014	No mitochondrial presequence	7(MPP)	0.286		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.335.final_new_mrna	0.019	No mitochondrial presequence	64(MPP)	-0.062	75-79	6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.Fgenesh_histo.106.final_new_mrna	0.004	No mitochondrial presequence	24(MPP)	0.125	62-66	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.236.final_new_mrna	0.034	No mitochondrial presequence	24(MPP)	0.083		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_histo.288.final_new_mrna	0.000	No mitochondrial presequence	31(MPP), 32(Icp55)	0.032	28-32,36-40,43-47,82-86	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZF.Contig44.Fgenesh_Aspergillus.1.final_new_mrna	0.011	No mitochondrial presequence	12(MPP)	0.167		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_histo.272.final_new_mrna	0.005	No mitochondrial presequence	43(MPP)	-0.047	32-36	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ER.Contig17.Fgenesh_histo.2.final_new_mrna	0.013	No mitochondrial presequence	61(MPP)	0.033	19-23	4-13-high	-	-	-	-	-	-	-	-	-	-	-	18-23	-	-	
HISTO_GY.Contig471.Fgenesh_histo.78.final_new_mrna	0.048	No mitochondrial presequence	35(MPP), 36(Icp55)	0.143		12-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.genewise.89.final_new_mrna	0.000	No mitochondrial presequence	25(MPP)	-0.160	47-51,82-86	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig158.Fgenesh_histo.112.final_new_mrna	0.006	No mitochondrial presequence	31(MPP)	0.097	62-66	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JF.Contig157.Fgenesh_histo.11.final_new_mrna	0.022	No mitochondrial presequence	10(MPP)	0.100	13-17	11-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GP.Contig38.fgenesh_plus.2.final_new_mrna	0.000	No mitochondrial presequence	73(MPP)	-0.082	33-37,41-45	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.eannot.1731.final_new_mrna	0.000	No mitochondrial presequence	26(MPP)	0.000	40-44,48-52	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BI.Contig285-snap.7.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	-0.125	58-62	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.196.final_new_mrna	0.000	No mitochondrial presequence	77(MPP)	-0.026		4-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GB.Contig114.Fgenesh_Aspergillus.46.final_new_mrna	0.005	No mitochondrial presequence	63(MPP)	-0.048	83-87	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.fgenesh_plus.140.final_new_mrna	0.000	No mitochondrial presequence	18(MPP)	-0.056		4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.336.final_new_mrna	0.024	No mitochondrial presequence	66(MPP)	0.076	6-10	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DK.Contig309.genewise.6.final_new_mrna	0.011	No mitochondrial presequence	8(MPP)	0.375	64-68	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_Aspergillus.1.final_new_mrna	0.006	No mitochondrial presequence	14(MPP)	0.071		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.254.final_new_mrna	0.783	Possessing mitochondrial presequence	8(MPP)	0.250	2-6,11-15,70-74	11-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig59.Fgenesh_histo.83.final_new_mrna	0.000	No mitochondrial presequence	29(MPP)	0.069		9-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161e.genewise.49.final_new_mrna	0.000	No mitochondrial presequence	41(MPP)	-0.073		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.Fgenesh_histo.4.final_new_mrna	0.161	No mitochondrial presequence	29(MPP), 30(Icp55)	0.069	1-5,96-100	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FX.Contig167.Fgenesh_Aspergillus.46.final_new_mrna	0.000	No mitochondrial presequence	18(MPP)	0.056		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.fgenesh_plus.27.final_new_mrna	0.000	No mitochondrial presequence	45(MPP)	0.133	59-63	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HF.Contig5.eannot.1025.final_new_mrna	0.000	No mitochondrial presequence	9(MPP)	0.111		7-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.eannot.1333.final_new_mrna	0.000	No mitochondrial presequence	74(MPP)	-0.081	87-91	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.eannot.2035.final_new_mrna	0.840	Possessing mitochondrial presequence	13(MPP), 21(Oct1)	0.077	10-14,67-71	18-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig181.fgenesh_plus.74.final_new_mrna	0.000	No mitochondrial presequence	67(MPP), 68(Icp55)	-0.090	19-23	15-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.eannot.1740.final_new_mrna	0.000	No mitochondrial presequence	61(MPP)	-0.115	33-37,36-40,63-67,77-81	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296.Fgenesh_histo.57.final_new_mrna	0.006	No mitochondrial presequence	17(MPP)	0.118	14-18	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.eannot.1549.final_new_mrna	0.010	No mitochondrial presequence	42(MPP)	0.119		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.Fgenesh_histo.161.final_new_mrna	0.003	No mitochondrial presequence	50(MPP), 58(Oct1)	0.000	61-65,78-82	16-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.Fgenesh_Aspergillus.78.final_new_mrna	0.004	No mitochondrial presequence	41(MPP)	-0.024	15-19,18-22	16-26-high	-	-	-	-	18-23	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127a.genewise.49.final_new_mrna	0.000	No mitochondrial presequence	6(MPP)	-0.333	24-28	20-29-high	-	-	-	-	-	-	-	-	-	-	-	23-28	24-29	-	
HISTO_GX.Contig297-snap.35.final_new_mrna	0.048	No mitochondrial presequence	36(MPP)	0.028	1-5,14-18,95-99	5-14-low	-	-	-	-	14-19	-	-	17-22	-	-	-	-	-	-	
HISTO_HS.Contig68.eannot.2166.final_new_mrna	0.019	No mitochondrial presequence	27(MPP)	0.222		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ER.Contig17.Fgenesh_Aspergillus.57.final_new_mrna	0.000	No mitochondrial presequence	56(MPP)	-0.179	33-37,61-65	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296-snap.49.final_new_mrna	0.027	No mitochondrial presequence	16(MPP)	0.062	10-14,71-75	6-15-high	-	-	-	-	-	-	-	-	-	-	-	9-14	-	-	
HISTO_DU.Contig190.Fgenesh_histo.46.final_new_mrna	0.000	No mitochondrial presequence	68(MPP), 69(Icp55)	0.088		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.fgenesh_plus.24.final_new_mrna	0.003	No mitochondrial presequence	12(MPP)	0.167	45-49	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig2f-snap.18.final_new_mrna	0.000	No mitochondrial presequence	33(MPP), 34(Icp55)	0.061	41-45	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig363.Fgenesh_Aspergillus.17.final_new_mrna	0.000	No mitochondrial presequence	9(MPP)	-0.222		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.Fgenesh_histo.185.final_new_mrna	0.000	No mitochondrial presequence	14(MPP)	0.000		16-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.Fgenesh_histo.198.final_new_mrna	0.022	No mitochondrial presequence	27(MPP)	0.037	46-50,49-53,53-57	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig204.Fgenesh_Aspergillus.6.final_new_mrna	0.000	No mitochondrial presequence	30(MPP)	-0.067		5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_histo.293.final_new_mrna	0.024	No mitochondrial presequence	20(MPP)	0.050	41-45	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161c.eannot.1474.final_new_mrna	0.006	No mitochondrial presequence	17(MPP)	0.118		14-26-low	-	-	-	-	-	-	-	-	-	13-18	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.312.final_new_mrna	0.014	No mitochondrial presequence	38(MPP)	0.053		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.Fgenesh_histo.19.final_new_mrna	0.234	No mitochondrial presequence	13(MPP)	0.077		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.Fgenesh_Neurospora.99.final_new_mrna	0.069	No mitochondrial presequence	33(MPP)	0.152	47-51,59-63	1-10-high	-	-	-	-	-	-	-	1-6	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_histo.211.final_new_mrna	0.011	No mitochondrial presequence	44(MPP)	0.045		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZW.Contig245.Fgenesh_Aspergillus.40.final_new_mrna	0.000	No mitochondrial presequence	66(MPP)	-0.106		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161c.Fgenesh_histo.65.final_new_mrna	0.000	No mitochondrial presequence	29(MPP), 30(Icp55)	0.000	31-35	20-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig59.Fgenesh_histo.44.final_new_mrna	0.000	No mitochondrial presequence	16(MPP)	0.000		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig59.Fgenesh_Neurospora.78.final_new_mrna	0.000	No mitochondrial presequence	70(MPP)	0.000	55-59	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig382.eannot.1273.final_new_mrna	0.011	No mitochondrial presequence	73(MPP)	-0.082	3-7,7-11,70-74	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.Fgenesh_Neurospora.89.final_new_mrna	0.190	No mitochondrial presequence	45(MPP)	0.244	42-46,52-56	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127a.eannot.1361.final_new_mrna	0.617	Possessing mitochondrial presequence	26(MPP)	0.192		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig181.eannot.1567.final_new_mrna	0.003	No mitochondrial presequence	11(MPP)	0.182	53-57,73-77	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_histo.197.final_new_mrna	0.003	No mitochondrial presequence	35(MPP)	0.086		1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.Fgenesh_histo.74.final_new_mrna	0.004	No mitochondrial presequence	9(MPP)	0.111	84-88	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127b.eannot.1385.final_new_mrna	0.116	No mitochondrial presequence	19(MPP)	0.211		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_histo.100.final_new_mrna	0.014	No mitochondrial presequence	21(MPP)	0.048		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_Aspergillus.10.final_new_mrna	0.000	No mitochondrial presequence	72(MPP)	-0.194		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ER.Contig17.eannot.1303.final_new_mrna	0.000	No mitochondrial presequence	38(MPP)	-0.026		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig286-snap.7.final_new_mrna	0.000	No mitochondrial presequence	85(MPP)	-0.071	93-97	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig94.fgenesh_plus.2.final_new_mrna	0.000	No mitochondrial presequence	20(MPP)	0.100	33-37	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.fgenesh_plus.166.final_new_mrna	0.038	No mitochondrial presequence	15(MPP)	0.133	39-43,90-94	1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.fgenesh_plus.104.final_new_mrna	0.000	No mitochondrial presequence	39(MPP)	0.026	85-89	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161e-snap.28.final_new_mrna	0.000	No mitochondrial presequence	18(MPP)	-0.111	81-85	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ER.Contig17.eannot.1270.final_new_mrna	0.000	No mitochondrial presequence	9(MPP), 10(Icp55)	-0.111	41-45	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig298.Fgenesh_Aspergillus.4.final_new_mrna	0.014	No mitochondrial presequence	40(MPP)	0.100	84-88	10-21-high	-	-	-	-	-	17-22	-	-	-	16-21	-	-	-	-	
HISTO_GI.Contig363.Fgenesh_histo.54.final_new_mrna	0.009	No mitochondrial presequence	71(MPP)	0.000	23-27	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_histo.209.final_new_mrna	0.003	No mitochondrial presequence	10(MPP)	-0.100		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.eannot.1736.final_new_mrna	0.000	No mitochondrial presequence	48(MPP), 49(Icp55)	-0.021		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig190.Fgenesh_histo.92.final_new_mrna	0.000	No mitochondrial presequence	37(MPP)	-0.081	93-97	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig940.fgenesh_plus.15.final_new_mrna	0.000	No mitochondrial presequence	48(MPP)	-0.292		1-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig298.Fgenesh_histo.1.final_new_mrna	0.000	No mitochondrial presequence	47(MPP)	-0.021	4-8,86-90	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig59.eannot.1274.final_new_mrna	0.912	Possessing mitochondrial presequence	42(MPP)	0.119		8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.Fgenesh_histo.155.final_new_mrna	0.825	Possessing mitochondrial presequence	12(MPP)	0.333	10-14	6-15-high	-	-	-	-	-	6-11	-	-	-	-	-	-	-	5-10	
HISTO_DA.Contig93-snap.134.final_new_mrna	0.008	No mitochondrial presequence	49(MPP)	0.000	1-5,88-92	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig207.Fgenesh_Neurospora.47.final_new_mrna	0.035	No mitochondrial presequence	6(MPP)	0.500	92-96	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ER.Contig17.Fgenesh_histo.12.final_new_mrna	0.000	No mitochondrial presequence	61(MPP)	0.000	26-30	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LAF.Contig3.Fgenesh_Aspergillus.2.final_new_mrna	0.026	No mitochondrial presequence	15(MPP)	0.067	81-85,89-93	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459-snap.33.final_new_mrna	0.004	No mitochondrial presequence	46(MPP)	-0.022	40-44,54-58,57-61,67-71	2-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93-snap.20.final_new_mrna	0.082	No mitochondrial presequence	16(MPP)	0.125		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161d.eannot.1452.final_new_mrna	0.000	No mitochondrial presequence	44(MPP)	0.023		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.Fgenesh_Neurospora.31.final_new_mrna	0.003	No mitochondrial presequence	29(MPP)	0.034		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296.Fgenesh_histo.68.final_new_mrna	0.008	No mitochondrial presequence	38(MPP)	0.079		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161a.eannot.1135.final_new_mrna	0.014	No mitochondrial presequence	92(MPP)	0.022	35-39	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296.eannot.1384.final_new_mrna	0.000	No mitochondrial presequence	50(MPP)	0.000	62-66,94-98	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1158.Fgenesh_histo.76.final_new_mrna	0.007	No mitochondrial presequence	41(MPP)	0.244		8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_histo.332.final_new_mrna	0.000	No mitochondrial presequence	90(MPP)	0.056	61-65	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig190.eannot.1257.final_new_mrna	0.691	Possessing mitochondrial presequence	19(MPP)	0.158	68-72	15-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.eannot.1678.final_new_mrna	0.012	No mitochondrial presequence	55(MPP)	0.073		4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_Aspergillus.198.final_new_mrna	0.025	No mitochondrial presequence	6(MPP)	0.167		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.Fgenesh_histo.211.final_new_mrna	0.000	No mitochondrial presequence	72(MPP)	0.028		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig363.Fgenesh_histo.44.final_new_mrna	0.013	No mitochondrial presequence	10(MPP)	0.200	70-74	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161e.eannot.1277.final_new_mrna	0.019	No mitochondrial presequence	13(MPP), 14(Icp55)	0.077	29-33	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_histo.51.final_new_mrna	0.000	No mitochondrial presequence	64(MPP)	-0.078		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig181.eannot.1632.final_new_mrna	0.156	No mitochondrial presequence	12(MPP)	0.250		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.Fgenesh_histo.155.final_new_mrna	0.159	No mitochondrial presequence	37(MPP)	0.108	2-6,8-12	19-28-low	-	-	-	-	2-7	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_histo.162.final_new_mrna	0.500	Possessing mitochondrial presequence	8(MPP), 9(Icp55)	0.250		1-10-high	-	-	-	-	-	-	1-6	5-10	-	-	-	-	-	4-9	
HISTO_GY.Contig460.eannot.1796.final_new_mrna	0.508	Possessing mitochondrial presequence	12(MPP)	0.333		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127a.Fgenesh_histo.38.final_new_mrna	0.026	No mitochondrial presequence	40(MPP)	0.100	1-5,65-69,88-92	14-23-low	-	-	-	-	1-6	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.Fgenesh_histo.51.final_new_mrna	0.000	No mitochondrial presequence	46(MPP)	-0.022	63-67	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZB.Contig20.Fgenesh_Aspergillus.3.final_new_mrna	0.000	No mitochondrial presequence	12(MPP)	-0.083	16-20,33-37,37-41,68-72,89-93	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZH.Contig107.genewise.33.final_new_mrna	0.024	No mitochondrial presequence	40(MPP)	0.000	1-5	21-30-low	-	-	-	-	1-6	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127a.eannot.1374.final_new_mrna	0.523	Possessing mitochondrial presequence	38(MPP), 39(Icp55)	0.158	30-34	18-29-low	-	-	-	-	-	-	12-17	-	-	-	-	-	-	-	
HISTO_AL.Contig317.Fgenesh_histo.139.final_new_mrna	0.005	No mitochondrial presequence	34(MPP)	0.059		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.Fgenesh_histo.230.final_new_mrna	0.000	No mitochondrial presequence	73(MPP)	-0.014		9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig382.Fgenesh_Neurospora.43.final_new_mrna	0.000	No mitochondrial presequence	12(MPP)	-0.167		18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GB.Contig114.eannot.1110.final_new_mrna	0.000	No mitochondrial presequence	69(MPP)	-0.043		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.eannot.1482.final_new_mrna	0.000	No mitochondrial presequence	50(MPP), 58(Oct1)	-0.020	68-72	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_Aspergillus.27.final_new_mrna	0.000	No mitochondrial presequence	33(MPP)	0.061		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZQ.Contig188.Fgenesh_Neurospora.2.final_new_mrna	0.020	No mitochondrial presequence	24(MPP)	0.042	6-10,30-34	5-14-high	-	-	-	-	-	10-15	-	-	-	9-14	-	-	-	-	
HISTO_ZW.Contig245.Fgenesh_Aspergillus.16.final_new_mrna	0.000	No mitochondrial presequence	75(MPP)	-0.133		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
